Plot,Position,Treatment,Species,Start_LA,Moisture,Densiometer,Status,Days
1,1,Drought,GUAGUI,26.87,13.863636,10.66,1,32
1,2,Drought,SCHMOR,8.73,13.863636,10.66,1,35
1,3,Drought,CECSCH,3.66,13.863636,10.66,1,122
1,4,Drought,INGLAU,80.77,13.863636,10.66,0,228
1,5,Drought,MANBID,18.37,13.863636,10.66,0,228
1,6,Drought,TETBAL,64.88,13.863636,10.66,1,73
1,7,Drought,PREMON,5.63,13.863636,10.66,1,32
1,8,Drought,UREBAC,4.15,13.863636,10.66,1,32
1,9,Drought,GUAGUI,27.91,13.863636,10.66,1,102
1,10,Drought,SCHMOR,10.02,13.863636,10.66,1,32
1,11,Drought,CECSCH,6.05,13.863636,10.66,1,17
1,12,Drought,INGLAU,81.73,13.863636,10.66,0,228
1,13,Drought,MANBID,18.78,13.863636,10.66,0,228
1,14,Drought,TETBAL,62.68,13.863636,10.66,1,46
1,15,Drought,PREMON,8.81,13.863636,10.66,1,32
1,16,Drought,UREBAC,1.92,13.863636,10.66,1,17
2,1,Control,SCHMOR,11.8,22.420455,11.96,0,228
2,2,Control,CECSCH,5.21,22.420455,11.96,1,8
2,3,Control,SCHMOR,6.47,22.420455,11.96,1,14
2,4,Control,TETBAL,92.09,22.420455,11.96,0,228
2,5,Control,GUAGUI,32.46,22.420455,11.96,0,228
2,6,Control,MANBID,18.78,22.420455,11.96,0,228
2,7,Control,UREBAC,6.39,22.420455,11.96,1,228
2,8,Control,TETBAL,63.5,22.420455,11.96,0,228
2,9,Control,PREMON,7.54,22.420455,11.96,0,228
2,10,Control,GUAGUI,21.91,22.420455,11.96,0,228
2,11,Control,PREMON,10.71,22.420455,11.96,0,228
2,12,Control,MANBID,17.36,22.420455,11.96,0,228
2,13,Control,UREBAC,3.67,22.420455,11.96,1,8
2,14,Control,INGLAU,94.8,22.420455,11.96,0,228
2,15,Control,CECSCH,4.22,22.420455,11.96,1,83
2,16,Control,INGLAU,64.61,22.420455,11.96,0,228
3,1,Control,TETBAL,77.25,17.859091,13.52,0,228
3,2,Control,TETBAL,49.21,17.859091,13.52,0,228
3,3,Control,SCHMOR,11.32,17.859091,13.52,1,102
3,4,Control,GUAGUI,23.77,17.859091,13.52,0,228
3,5,Control,GUAGUI,41.14,17.859091,13.52,0,228
3,6,Control,PREMON,11.08,17.859091,13.52,0,228
3,7,Control,SCHMOR,7.76,17.859091,13.52,0,228
3,8,Control,MANBID,18.57,17.859091,13.52,0,228
3,9,Control,CECSCH,1.55,17.859091,13.52,1,53
3,10,Control,CECSCH,1.55,17.859091,13.52,1,32
3,11,Control,UREBAC,4.15,17.859091,13.52,1,122
3,12,Control,INGLAU,90,17.859091,13.52,0,228
3,13,Control,MANBID,16.96,17.859091,13.52,0,228
3,14,Control,PREMON,8.99,17.859091,13.52,0,228
3,15,Control,UREBAC,9.1,17.859091,13.52,1,179
3,16,Control,INGLAU,76.15,17.859091,13.52,0,228
4,1,Drought,UREBAC,3.19,9.670455,11.44,1,24
4,2,Drought,CECSCH,2.25,9.670455,11.44,1,35
